i,time,y0,y1,y2,y3,y4,du1,du2,du3,du4,U1,du
148,4488903,-0.01030603,-0.00934549,-0.00814940,-0.00728785,-0.00646358,-0.10108547,-0.06706453,-0.07262975,-0.04980412,1.12028615,-0.07609281
149,4498903,-0.01117315,-0.01030603,-0.00934549,-0.00814940,-0.00728785,-0.07609281,-0.10108547,-0.06706453,-0.07262975,1.04419333,-0.08522724
150,4508903,-0.01282090,-0.01117315,-0.01030603,-0.00934549,-0.00814940,-0.08522724,-0.07609281,-0.10108547,-0.06706453,0.95896610,-0.15392624
151,4518903,-0.01391613,-0.01282090,-0.01117315,-0.01030603,-0.00934549,-0.15392624,-0.08522724,-0.07609281,-0.10108547,0.80503985,-0.08369547
152,4528903,-0.01411574,-0.01391613,-0.01282090,-0.01117315,-0.01030603,-0.08369547,-0.15392624,-0.08522724,-0.07609281,0.72134438,-0.05525694
153,4538903,-0.01513210,-0.01411574,-0.01391613,-0.01282090,-0.01117315,-0.05525694,-0.08369547,-0.15392624,-0.08522724,0.66608745,-0.16049224
154,4548903,-0.01613865,-0.01513210,-0.01411574,-0.01391613,-0.01282090,-0.16049224,-0.05525694,-0.08369547,-0.15392624,0.50559521,-0.11686653
155,4558905,-0.01699628,-0.01613865,-0.01513210,-0.01411574,-0.01391613,-0.11686653,-0.16049224,-0.05525694,-0.08369547,0.38872868,-0.11732653
156,4568903,-0.01740326,-0.01699628,-0.01613865,-0.01513210,-0.01411574,-0.11732653,-0.11686653,-0.16049224,-0.05525694,0.27140215,-0.10639960
157,4578903,-0.01800351,-0.01740326,-0.01699628,-0.01613865,-0.01513210,-0.10639960,-0.11732653,-0.11686653,-0.16049224,0.16500255,-0.13373170
158,4588903,-0.01889026,-0.01800351,-0.01740326,-0.01699628,-0.01613865,-0.13373170,-0.10639960,-0.11732653,-0.11686653,0.03127084,-0.15129375
159,4598903,-0.01967593,-0.01889026,-0.01800351,-0.01740326,-0.01699628,-0.15129375,-0.13373170,-0.10639960,-0.11732653,-0.12002291,-0.13588010
160,4608903,-0.02093964,-0.01967593,-0.01889026,-0.01800351,-0.01740326,-0.13588010,-0.15129375,-0.13373170,-0.10639960,-0.25590300,-0.18359324
