i,time,raw_accel,raw_gyro,kalman_accel
400,5803841,-0.27005160,100.68212891,-0.03721700
401,5805834,-0.23273322,98.36279297,-0.03530596
402,5807832,-0.08796503,96.53173828,-0.03235781
403,5809824,0.13528587,97.32519531,-0.02771788
404,5811867,-0.04277792,97.99658203,-0.02441575
405,5813876,-0.14215032,97.69140625,-0.02187509
406,5815866,-0.06719285,97.50830078,-0.01885483
407,5817857,0.01145745,97.99658203,-0.01524939
408,5819832,-0.01312208,98.05761719,-0.01186586
409,5822100,-0.12994382,97.56933594,-0.00918214
410,5824121,-0.11596344,98.54589844,-0.00633260
411,5826113,-0.04304760,99.15625000,-0.00318993
412,5828100,-0.11620107,101.17041016,-0.00058873
413,5830298,-0.14827387,103.00146484,0.00199657
414,5832323,-0.09770313,104.10009766,0.00504504
415,5834312,-0.00392482,107.33496094,0.00866184
416,5836302,-0.02428141,110.50878906,0.01218627
417,5838291,-0.06970652,112.52294922,0.01541872
418,5840288,-0.05497499,113.25537109,0.01878179
419,5842300,-0.10659590,113.86572266,0.02178272
420,5844288,-0.08855126,114.47607422,0.02488275
421,5846278,0.04279213,114.53710938,0.02896317
422,5848266,0.06623668,114.41503906,0.03319143
423,5850263,-0.04102660,114.72021484,0.03657967
424,5852275,0.05347275,115.20849609,0.04071946
425,5854264,0.03677328,114.65917969,0.04465183
426,5856253,0.13692122,111.91259766,0.04923838
427,5858242,0.11464513,109.41015625,0.05353068
428,5860285,0.05348149,105.93115234,0.05725769
429,5862353,0.03747069,102.57421875,0.06081080
430,5864343,0.03789258,99.94970703,0.06415037
431,5866333,0.06898115,97.08105469,0.06755860
432,5868322,0.10489388,94.27343750,0.07111866
433,5870319,0.11917199,92.25927734,0.07468925
434,5872331,0.22267223,90.30615234,0.07898784
435,5874324,0.57601742,87.55957031,0.08584674
436,5876317,0.55875004,85.97265625,0.09245397
437,5878309,0.68997327,77.91601562,0.09979038
438,5880310,0.56851064,71.20214844,0.10590382
439,5882326,0.43568958,61.80273438,0.11067311
440,5884319,0.68051538,51.18261719,0.11690363
441,5886311,0.64999272,43.55322266,0.12255786
442,5888303,0.76093598,32.07861328,0.12865642
443,5890323,0.82613830,20.54296875,0.13481526
444,5892352,0.74853854,7.72558594,0.13990657
445,5894344,0.73789762,-5.82421875,0.14440665
446,5896337,0.77455518,-16.81054688,0.14875109
447,5898337,0.95163854,-29.20068359,0.15400150
448,5900337,0.78153059,-40.61425781,0.15750216
449,5902355,0.86099399,-59.22998047,0.16098939
450,5904348,0.88093038,-73.69531250,0.16408225
451,5906341,0.95701684,-89.99169922,0.16719479
452,5908334,0.68464117,-106.16601562,0.16763599
453,5910330,0.36950753,-118.73925781,0.16518996
454,5912347,0.46415049,-131.73974609,0.16300085
455,5914337,0.27981960,-142.17675781,0.15907520
456,5916325,-0.02053004,-151.02685547,0.15257208
457,5918314,-0.16602978,-156.82519531,0.14478331
458,5920311,-0.14541638,-157.67968750,0.13712579
459,5922323,0.22876906,-160.60937500,0.13225700
460,5924313,0.07838388,-161.40283203,0.12628016
461,5926301,-0.29862637,-160.79248047,0.11748229
462,5928290,-0.28561836,-157.25244141,0.10894781
463,5930301,-0.20558117,-155.29931641,0.10114316
464,5932329,-0.46845483,-153.28515625,0.09137705
465,5934322,-0.64421434,-149.86718750,0.08052085
466,5936314,-0.51147913,-141.20019531,0.07104079
467,5938303,-0.40911199,-135.09667969,0.06265265
468,5940304,-0.57503365,-127.83349609,0.05329025
469,5942321,-0.56777301,-121.11962891,0.04424435
470,5944310,-0.40535695,-113.18505859,0.03682164
471,5946299,-0.32425817,-105.12841797,0.03036540
472,5948288,-0.27161157,-100.12353516,0.02456094
473,5950286,-0.30009223,-95.54589844,0.01873786
474,5952298,-0.15222590,-91.82275391,0.01419461
475,5954290,-0.47427563,-87.67236328,0.00739014
476,5956283,-0.43277325,-86.45166016,0.00102809
477,5958275,-0.71469586,-79.98193359,-0.00726698
478,5960316,-0.70392968,-71.62011719,-0.01517032
479,5962394,-0.58157184,-59.41308594,-0.02174798
480,5964387,-0.44713775,-45.92431641,-0.02673936
481,5966376,-0.42007237,-35.54833984,-0.03106746
482,5968368,-0.63601039,-25.90478516,-0.03667547
483,5970368,-0.74956143,-14.36914062,-0.04273059
484,5972385,-0.58189357,-2.58935547,-0.04705364
485,5974378,-0.61072267,11.44873047,-0.05109596
486,5976371,-0.75782570,23.41162109,-0.05580262
487,5978363,-0.85237632,35.43554688,-0.06078183
488,5980392,-0.93208716,48.06982422,-0.06588809
489,5982423,-0.94420732,63.26757812,-0.07051448
490,5984418,-0.88821474,79.44189453,-0.07416105
491,5986412,-0.79616212,99.88867188,-0.07641754
492,5988406,-1.01536459,119.60302734,-0.07964694
493,5990406,-0.88788681,135.59423828,-0.08128365
494,5992424,-0.64962476,151.15820312,-0.08049013
495,5994415,-0.39117861,166.78320312,-0.07724030
