i,time,y0,y1,y2,y3,y4,du1,du2,du3,du4,U1,du
113,4138840,1.17950439,1.18329404,1.18754650,1.19036443,1.19138623,0.00000000,0.00000000,0.00000000,0.00000000,10.75082063,1.43906878
114,4148840,1.17393675,1.17950439,1.18329404,1.18754650,1.19036443,0.00000000,0.00000000,0.00000000,0.00000000,10.75082063,1.42840560
115,4158840,1.16772052,1.17393675,1.17950439,1.18329404,1.18754650,0.00000000,0.00000000,0.00000000,0.00000000,10.75082063,1.42565542
116,4168840,1.15932616,1.16772052,1.17393675,1.17950439,1.18329404,0.00000000,0.00000000,0.00000000,0.00000000,10.75082063,1.41399804
117,4178840,1.15074062,1.15932616,1.16772052,1.17393675,1.17950439,-0.00256258,0.00000000,0.00000000,0.00000000,10.74825805,1.41185373
118,4188841,1.14064552,1.15074062,1.15932616,1.16772052,1.17393675,0.00000000,-0.00256258,0.00000000,0.00000000,10.74825805,1.40038101
119,4198840,1.13016295,1.14064552,1.15074062,1.15932616,1.16772052,0.00000000,0.00000000,-0.00256258,0.00000000,10.74825805,1.39510324
120,4208840,1.11757985,1.13016295,1.14064552,1.15074062,1.15932616,0.00000000,0.00000000,0.00000000,-0.00256258,10.74825805,1.38039353
121,4218840,1.10350883,1.11757985,1.13016295,1.14064552,1.15074062,0.00000000,0.00000000,0.00000000,0.00000000,10.74825805,1.37019482
122,4228839,1.08959300,1.10350883,1.11757985,1.13016295,1.14064552,0.00000000,0.00000000,0.00000000,0.00000000,10.74825805,1.36440340
123,4238840,1.07413750,1.08959300,1.10350883,1.11757985,1.13016295,0.00000000,0.00000000,0.00000000,0.00000000,10.74825805,1.34854463
124,4248840,1.05680620,1.07413750,1.08959300,1.10350883,1.11757985,0.00000000,0.00000000,0.00000000,0.00000000,10.74825805,1.33373104
125,4258840,1.03903050,1.05680620,1.07413750,1.08959300,1.10350883,0.00000000,0.00000000,0.00000000,0.00000000,10.74825805,1.32412011
126,4268840,1.02116707,1.03903050,1.05680620,1.07413750,1.08959300,0.00000000,0.00000000,0.00000000,0.00000000,10.74825805,1.31275573
127,4278840,1.00259908,1.02116707,1.03903050,1.05680620,1.07413750,0.01963600,0.00000000,0.00000000,0.00000000,10.76789405,1.29931616
