i,time,raw_accel,raw_gyro,kalman_accel
391,4242769,-0.91538317,-79.43261719,-0.05731238
392,4244766,-0.92621594,-57.03271484,-0.06594442
393,4246769,-0.87159232,-34.20556641,-0.07327050
394,4248769,-0.74009257,-11.68359375,-0.07867224
395,4250767,-0.55828332,6.56591797,-0.08189105
396,4252771,-0.57161926,22.86230469,-0.08464002
397,4254769,-0.49942355,33.66552734,-0.08639432
398,4256766,-0.43273477,41.11181641,-0.08733350
399,4258774,-0.19303329,44.65185547,-0.08614992
400,4260837,-0.42876310,48.74121094,-0.08677940
401,4262869,-0.58038689,51.06054688,-0.08854903
402,4264843,-0.53939743,57.22509766,-0.08978210
403,4266831,-0.50866324,66.99072266,-0.09049223
404,4268827,-0.48002182,74.55908203,-0.09068630
405,4270817,-0.46137357,84.01953125,-0.09038959
406,4272795,-0.44028713,91.95410156,-0.08966486
407,4274788,-0.21783964,98.79003906,-0.08688867
408,4276770,-0.04808352,103.24560547,-0.08254430
409,4278767,-0.00902006,105.19873047,-0.07786842
410,4280766,-0.13214492,105.56494141,-0.07420707
411,4282765,0.07994293,103.79492188,-0.06887369
412,4284764,0.28122231,101.23144531,-0.06200070
413,4286763,0.14511654,98.48486328,-0.05640305
414,4288766,0.09226926,94.57861328,-0.05142173
415,4290765,0.06070092,92.19824219,-0.04681594
416,4292764,0.22846786,88.35302734,-0.04099677
417,4294763,0.36437409,84.14160156,-0.03424135
418,4296764,0.26358596,80.47949219,-0.02849657
419,4298766,0.26072204,76.08496094,-0.02296866
420,4300765,0.22859961,72.23974609,-0.01787766
421,4302764,0.32433616,67.66210938,-0.01219568
422,4304763,0.32308828,62.16894531,0.00000000
423,4306763,0.22671271,56.85888672,0.00000000
424,4308763,0.12951816,51.91503906,0.00000000
425,4310763,0.14339333,48.13085938,0.00000000
426,4312766,0.40790979,43.91943359,0.00000000
427,4314769,0.45262595,38.91455078,0.01538145
428,4316766,0.59377578,32.68896484,0.02183794
429,4318768,0.67466822,23.83886719,0.02860616
430,4320770,0.57266042,14.07324219,0.03415392
431,4322767,0.62271316,2.35449219,0.03967125
432,4324770,0.56606778,-8.75390625,0.04430054
433,4326766,0.42372679,-20.77783203,0.04731224
434,4328765,0.22826141,-31.58105469,0.04832303
435,4330764,-0.12191081,-39.51562500,0.04617083
436,4332763,-0.30930420,-45.19189453,0.04229595
437,4334762,-0.40374155,-48.06054688,0.03757150
438,4336758,-0.34264110,-49.58642578,0.03332822
439,4338758,-0.31303623,-48.54882812,0.02939484
440,4340758,-0.35043679,-46.65673828,0.02524426
441,4342762,-0.49865929,-44.21533203,0.01998853
442,4344762,-0.56692680,-41.83496094,0.01428760
443,4346761,-0.53774308,-38.96630859,0.00000000
444,4348763,-0.59253275,-34.57177734,0.00000000
445,4350767,-0.67452092,-28.52929688,0.00000000
446,4352770,-0.67247775,-20.41162109,0.00000000
447,4354767,-0.66518651,-14.06396484,-0.01367114
448,4356770,-0.58586518,-6.67871094,-0.01809350
449,4358774,-0.49758661,-0.14794922,-0.02153842
450,4360824,-0.42711222,6.32177734,-0.02415934
451,4362871,-0.48780429,10.47216797,-0.02710293
452,4364840,-0.35789666,13.70703125,-0.02885343
453,4366823,-0.40945273,16.69775391,-0.03094939
454,4368816,-0.47045495,19.68847656,-0.03342328
455,4370806,-0.47392167,22.74023438,-0.03580117
456,4372795,-0.49188709,27.62304688,-0.03814776
457,4374792,-0.51504254,32.26171875,-0.04051184
458,4376788,-0.51393026,38.12109375,-0.04264726
459,4378778,-0.51009890,45.14013672,-0.04449903
460,4380775,-0.46435236,50.93847656,-0.04577558
461,4382771,-0.43883684,58.32373047,-0.04657733
462,4384764,-0.36939593,65.09863281,-0.04657926
463,4386763,-0.34364264,70.95800781,-0.04617950
464,4388765,-0.37069401,75.65771484,-0.04583742
465,4390764,-0.17928301,79.74707031,-0.04379484
466,4392763,-0.13932698,83.83642578,-0.04130870
467,4394763,-0.14648341,85.30126953,-0.03885204
468,4396762,-0.13297146,85.85058594,-0.03628633
469,4398759,-0.08359180,85.91162109,-0.03334205
470,4400757,0.11677531,84.93505859,-0.02882482
471,4402757,0.03772239,84.62988281,-0.02499778
472,4404758,0.02242538,81.76123047,-0.02141961
473,4406758,0.04568142,80.17431641,-0.01773397
474,4408761,0.23096045,76.57324219,-0.01269657
475,4410757,0.28731349,73.09423828,0.00000000
476,4412758,0.18692478,68.76074219,0.00000000
477,4414758,0.13637310,64.06103516,0.00000000
478,4416758,0.23663967,57.89648438,0.00000000
479,4418757,0.38661175,50.32812500,0.01022673
480,4420757,0.39072949,44.04150391,0.01523136
481,4422761,0.46082906,37.93798828,0.02055832
482,4424761,0.51343040,30.67480469,0.02602929
483,4426761,0.51888859,23.04541016,0.03124097
484,4428761,0.74803537,12.79150391,0.03792126
485,4430761,0.63149797,4.67382812,0.04333299
486,4432761,0.47089112,-6.31250000,0.04702867
487,4434757,0.29660195,-15.28466797,0.04897852
488,4436758,0.08177411,-22.36474609,0.04893197
489,4438758,-0.06352301,-27.79687500,0.04752122
490,4440758,-0.21906560,-29.68896484,0.04479578
491,4442758,-0.05023688,-29.68896484,0.04345452
492,4444759,-0.15065859,-30.97070312,0.04126579
493,4446759,-0.08473149,-31.15380859,0.03961880
494,4448759,0.03070232,-31.94726562,0.03888933
495,4450759,-0.13906707,-33.10693359,0.03675329
496,4452760,-0.03013293,-37.86767578,0.03534738
497,4454758,-0.01760531,-43.11669922,0.03387107
498,4456759,-0.00068581,-49.83056641,0.03231227
499,4458762,-0.06311428,-54.34716797,0.03010320
500,4460834,-0.19952293,-57.88720703,0.02668349
501,4462877,-0.27056632,-61.42724609,0.02253697
502,4464861,-0.22275608,-62.03759766,0.01880711
503,4466845,-0.22491477,-61.12207031,0.01516757
504,4468833,-0.19752539,-60.63378906,0.01179078
505,4470816,-0.31180798,-59.90136719,0.00000000
506,4472802,-0.31791407,-60.69482422,0.00000000
507,4474791,-0.41169524,-58.80273438,0.00000000
508,4476777,-0.49622285,-57.21582031,0.00000000
509,4478777,-0.67167323,-51.47851562,-0.01399943
510,4480774,-0.80514580,-43.29980469,-0.02148787
511,4482770,-0.76407625,-31.52001953,-0.02818889
512,4484767,-0.67810647,-17.35986328,-0.03366612
513,4486770,-0.69255835,-2.40625000,-0.03870935
514,4488771,-0.70082094,11.44873047,-0.04330825
515,4490768,-0.60730726,25.42578125,-0.04664492
516,4492767,-0.34611066,36.04589844,-0.04749862
517,4494766,-0.32758002,43.06494141,-0.04795779
518,4496765,-0.33286609,47.52050781,-0.04830516
519,4498772,-0.46818840,51.36572266,-0.04960856
520,4500769,-0.49690132,57.34716797,-0.05092284
521,4502766,-0.47274001,65.03759766,-0.05178514
522,4504769,-0.51093126,74.25390625,-0.05263679
523,4506766,-0.45931751,83.47021484,-0.05274677
524,4508768,-0.38678161,91.89306641,-0.05199869
525,4510767,-0.08398604,97.32519531,-0.04863382
526,4512766,-0.07633256,100.43798828,-0.04513295
527,4514765,-0.10019213,101.23144531,-0.04182457
528,4516763,0.01043870,100.37695312,-0.03768608
529,4518766,0.08746149,100.37695312,-0.03296633
530,4520765,0.16154834,97.99658203,-0.02776005
531,4522763,0.13896497,95.25000000,-0.02287577
532,4524762,0.23804524,91.58789062,-0.01736275
533,4526758,0.32486681,87.68164062,-0.01132796
534,4528758,0.30532049,83.65332031,0.00000000
535,4530762,0.43067310,77.48876953,0.00000000
536,4532761,0.64591098,69.92041016,0.00000000
537,4534761,0.77231671,60.64306641,0.01717575
538,4536761,0.78733449,51.12158203,0.02540922
539,4538761,0.83305652,38.54833984,0.03351955
540,4540761,0.68459462,27.25683594,0.04000053
541,4542761,0.68383884,13.27978516,0.04595017
542,4544761,0.67553072,0.21826172,0.05134395
543,4546761,0.55571136,-10.21875000,0.05538582
